.,Czech
EventPlaceYardTiles.text,"Poté, co zaparkujete auto, pomalu se přibližujete k jedné z menších budov v univerzitním kampusu. Zde najdete kancelář děkana, kde na vás čeká Eugene Clemens, ačkoli jste se ujistili, že dorazíte brzy, abyste měli čas na průzkum před tím, než mu svěříte Hvězdný kalendář. Očekáváte, že zde bude i více vašich přátel z univerzitní fakulty.\n\nNemůžete odolat nutkání neustále sledovat jakýkoli pohyb ve stínech. Najednou z budovy vychází postava v hábitu a v rychlosti kolem vás proběhne. Na chvíli zahlédnete znak, připomínající zelené oko, visící z jeho opasku. Můžete se jen domnívat, že Kult Zeleného oka dokázal rozšířit svou zkaženost i na Miskatonickou univerzitu. S vědomím, že by bylo lepší neprozrazovat své podezření, neplánujete o této události nikomu uvnitř říct. Víte, že budete muset být opatrnější, než jste doufali, ale možná zde najdete někoho, komu můžete důvěřovat.\n\nDříve než vstoupíte do budovy, rozhodnete se pro jistotu ještě prozkoumat nejbližší okolí.\n\nUmístěte {c:TileFrontYard} a {c:TileLibraryYard} spolu s vašimi vyšetřovateli, jak je uvedeno."
EventPlaceYardTiles.button1,Pokračovat
EventAddSearchTokensYard.text,"V ohništi nalevo si všimnete zbytků spáleného papíru. Některé ohořelé útržky vypadají dostatečně velké na to, aby na nich mohlo být čitelné písmo.\n\nNapravo si všimnete stolu s různými předměty. Možná tam najdete něco užitečného.\n\nUmístěte 2 žetony Prohledat, jak je uvedeno."
EventAddSearchTokensYard.button1,Pokračovat
EventAddExploreTokensYard.text,"Dovnitř vedou dva vchody. Dveře vlevo jsou hlavní vchod do budovy, zatímco dveře vpravo vedou do knihovny.\n\nUmístěte 2 žetony Prozkoumat, jak je uvedeno."
EventAddExploreTokensYard.button1,Pokračovat
TokenSearchFirePit.text,"V ohništi zůstaly nějaké útržky papíru."
TokenSearchFirePit.button1,{action} Prohledat
EventSearchFirePit.text,"Najdete spoustu bezcenných útržků papíru bez čitelného textu. Určitě tu musí být něco, co stojí za váš čas {observation}."
EventSearchFirePit.button1,Pokračovat
EventFirePitFail.text,"Odhazujete bezcenné ohořelé útržky papíru, ale mezi popelem nic nenacházíte.\n\nOdstraňte tento Žeton Prohledat."
EventFirePitFail.button1,Pokračovat
EventFirePitMedium.text,"Odhazujete bezcenné ohořelé útržky papíru a všimnete si částí novinového článku o Kultu Zeleného oka. Článek popisuje rostoucí vliv kultu po celém Arkhamu. Dále zdůrazňuje, že kult je stále bez jakýchkoli prokazatelných zločinů, a že by se k nim měla veřejnost podle toho chovat. Nemůžete si nepoložit otázku, zda už noviny nebyly infiltrovány členy Zeleného oka.\n\nZnáte ty zvěsti. Únosy, lidské oběti a černá magie jsou všechny spojovány s touto záhadnou skupinou. Ale dokud se neobjeví hmatatelné důkazy, nebude možné je zastavit. Můžete jen doufat, že jejich vliv se ještě nerozšířil na Miskatonickou univerzitu.\n\nZískejte 1 Žeton Stopy a odstraňte tento Žeton Prohledat."
EventFirePitMedium.button1,Pokračovat
EventFirePitBest.text,"Odhazujete bezcenné ohořelé útržky papíru a najdete zbytky pergamenu, na kterém je výrazně vyobrazen symbol Kultu Zeleného oka. Také si všimnete stěží čitelného textu odkazujícího na Miskatonickou univerzitu. Může existovat spojení mezi touto záhadnou skupinou a touto uznávanou akademickou institucí? Vezměte si 1 Kartu Strachu (lze předejít úspěšným hodem na {will}).\n\nZnáte ty zvěsti. Únosy, lidské oběti a černá magie jsou všechny spojovány s touto záhadnou skupinou. Ale dokud se neobjeví hmatatelné důkazy, nebude možné je zastavit. Můžete jen doufat, že jejich vliv se ještě nerozšířil na Miskatonickou univerzitu.\n\nVšichni vyšetřovatelé získají 1 Žeton Stopy, poté odstraňte tento Žeton Prohledat."
EventFirePitBest.button1,Pokračovat
TokenSearchYardTable.text,"Na stole leží různé předměty. Možná zde něco pomůže vašemu vyšetřování."
TokenSearchYardTable.button1,{action} Prohledat
EventSearchYardTable1.text,"Při rychlém pohledu na stůl vás upoutá pořádný kus železa. Takový mocný nástroj může být přesně to, co během této nejisté návštěvy potřebujete.\n\nZískejte běžný předmět Páčidlo a odstraňte tento Žeton Prohledat."
EventSearchYardTable1.button1,Pokračovat
EventSearchYardTable2.text,"V měsíčním světle se třpytí lesklá čepel. Zvednete dýku a všimnete si, že na rukojeti jsou vyryty podivné runy. Co by dělala okultní dýka na univerzitní půdě?\n\nZískejte běžný předmět Rituální dýka a 1 Žeton Stopy."
EventSearchYardTable2.button1,Pokračovat
EventSearchYardTable3.text,"Na stole spočívá malá krabička, která vypadá, že sem nepatří, zcela náhodou je zamčená. Proč by tu ležela? Možná obsahuje zajímavé tajemství, které někdo nechtěl vzít dovnitř.\n\nZískejte jedinečný předmět Skříňka s hlavolamem a odstraňte tento Žeton Prohledat.\n\nSe Skříňkou s hlavolamem můžete interagovat v nabídce předmětů."
EventSearchYardTable3.button1,Pokračovat
EventPuzzleBoxInteraction.text,"Zámek hlavolamu vyžaduje znalost starověkých glyfů. Můžete se pokusit otevřít skříňku pomocí {lore}."
EventPuzzleBoxInteraction.button1,{action} Pokusit se
EventOpenPuzzleBox.text,"Skříňka cvakne a otevře se, odhalujíc svůj obsah. Vidíte elixír, velmi podobný tomu, který vám dali brazilští místní obyvatelé během vaší expedice za Hvězdným kalendářem. Je možné, že tam dorazil někdo jiný ve stejné době jako vy a přivezl jeden z těchto lektvarů? Možná jste se do toho prokletého chrámu dostali právě včas, abyste ho uchránili před zlem.\n\nZískejte Elixír a jedinečný předmět Usvědčující důkaz."
PuzzleBox.button1,Hádat
EventOpenPuzzleBox.button1,Pokračovat
EventMove1Space.button1,Pokračovat
EventMove1Space.text,"Můžete se přesunout o 1 oblast v prozkoumané oblasti."
EventPuzzleBoxInteraction.button2,Zrušit
TokenExploreEntranceRight.text,"Toto je vchod do malé knihovny na děkanátu."
TokenExploreEntranceRight.button1,{action} Prozkoumat
EventDoctorInnocent.button1,Tlačítko1
EventDeanInnocent.button1,Pokračovat
EventLibrarianInnocent.button1,Tlačítko1
EventEnterLibrary.button1,Pokračovat
EventProfessorInnocent.button1,Pokračovat
TokenExploreEntranceLeft.text,"Tyto dveře vedou do hlavní vstupní haly děkanátu."
EventAddLibrarySearchTokenLeft.button1,Pokračovat
EventAddLibrarySearchTokenMiddle.text,"Toto je přece knihovna, takže by stálo za to podívat se, jaká literatura nebo rukopisy jsou na polici.\n\nUmístěte Žeton Prohledat, jak je uvedeno."
EventAddLibrarySearchTokenLeft.text,"Všimnete si několika míst, která při hledání stop stojí za prozkoumání.\n\nMalý stůl před vámi je pokryt knihami, které byly nedávno využity. Jedna z nich se jmenuje „<i>Starověké kmeny Brazílie</i>“. Může to být jen náhoda, že taková kniha byla vytažena právě po vašem návratu z brazilské expedice?\n\nUmístěte Žeton Prohledat, jak je uvedeno."
EventAddLibrarySearchTokenMiddle.button1,Pokračovat
EventAddLibrarySearchTokenRight.text,"Na druhém konci knihovny je po podlaze roztroušena hromada papírů.\n\nUmístěte Žeton Prohledat, jak je uvedeno."
EventAddLibrarySearchTokenRight.button1,Pokračovat
EventAddLibrarian.button1,Pokračovat
EventAddExploreTokenLibraryToEntryHall.text,"Dveře vlevo vedou do hlavní vstupní haly.\n\nUmístěte Žeton Prozkoumat, jak je uvedeno."
EventAddLibrarian.text,"Všimnete si jednoho ze svých akademických přátel, Howarda Bechmana, hlavního knihovníka. Soustředěně pročítá nějaké dokumenty a neodtrhne oči od textů před sebou.\n\nUmístěte Žeton Howard Bechman, jak je uvedeno."
EventAddExploreTokenLibraryToEntryHall.button1,Pokračovat
TokenExploreHallToLibrary.text,"Tyto dveře vedou do malé knihovny na děkanátu."
TokenExploreHallToLibrary.button1,{action} Prozkoumat
EventEnterLibrary.text,"Zápach starých zaprášených knih je nezaměnitelný. Jak jste očekávali, vidíte místnost lemovanou regály plnými knih a rukopisů. Neočekávaně však vidíte, že je v knihovně docela nepořádek. Po celé místnosti jsou rozházeny papíry a knihy, což úplně ignoruje jakýkoli smysl pro pořádek. Někdo musí něco důkladně zkoumat, aby tento chaous ospravedlnil.\n\nUmístěte {c:TileLibrary} a Žeton Zdi, jak je uvedeno."
TokenExploreEntranceLeft.button1,{action} Prozkoumat
EventEnterEntryHall.text,"Vstupní hala je čistá, uklizená a přívětivá, a na čerstvě naleštěné podlaze téměř vidíte svůj odraz. Ticho v místnosti je však děsivé a narušuje ho jen ozvěna vašich kroků odrážejících se od starých zdí.\n\nUmístěte {c:TileUniversityEntrance}, jak je uvedeno."
EventEnterEntryHall.button1,Pokračovat
EventAddSearchTokenEntryHall.text,"Na malém stole vlevo v hale leží list papíru.\n\nUmístěte Žeton Prohledat, jak je uvedeno."
EventAddSearchTokenEntryHall.button1,Pokračovat
EventAddExploreTokenHallToBathroomLobby.button1,Pokračovat
EventAddExploreTokenHallToLargeClass.text,"Na těchto dveřích je cedulka s nápisem „Učebna 101“.\n\nUmístěte Žeton Prozkoumat, jak je uvedeno."
EventAddExploreTokenHallToBathroomLobby.text,"Na těchto dveřích je cedulka s nápisem „Koupelna“.\n\nUmístěte Žeton Prozkoumat, jak je uvedeno."
EventAddExploreTokenHallToLargeClass.button1,Pokračovat
EventAddExploreTokenHallToDean.text,"Na dveřích na konci chodby je zlatá cedulka s nápisem „Děkanova kancelář“.\n\nUmístěte Žeton Prozkoumat, jak je uvedeno."
EventAddExploreTokenHallToDean.button1,Pokračovat
EventAddExploreTokenHallToMedOffice.text,"Na těchto dveřích je cedulka s nápisem „Ošetřovna“.\n\nUmístěte Žeton Prozkoumat, jak je uvedeno."
EventAddExploreTokenHallToMedOffice.button1,Pokračovat
EventAddExploreTokenHallToLibrary.text,"Na těchto dveřích je cedulka s nápisem „Knihovna“.\n\nUmístěte Žeton Prozkoumat, jak je uvedeno."
EventAddExploreTokenHallToLibrary.button1,Pokračovat
TokenExploreLibraryToHall.text,"Tyto dveře vedou do hlavní vstupní haly děkanátu."
TokenExploreLibraryToHall.button1,Pokračovat
TokenSearchLibraryLeft.text,"Na stole leží kniha s názvem „<i>Starověké kmeny Brazílie</i>“, někdo ji vytáhl z regálu."
TokenSearchLibraryLeft.button1,{action} Prohledat
EventLibraryBookBrazil.text,"Zkoumáte knihu s nadějí, že v jejích stránkách najdete nějaké stopy {observation}."
EventLibraryBookBrazil.button1,Pokračovat
EventBrazilianBookFail.text,"Procházíte stránky knihy, ale nenajdete nic pozoruhodného."
EventBrazilianBookFail.button1,Pokračovat
EventBrazilianBookPass.text,"Při procházení knihy si všimnete ohnutého rohu na jedné ze stránek. Text odkazuje na nějakou legendu o chrámu, který starověké kmeny považovaly za propojený se zlým světem plným nadpřirozených hrůz. Není pochyb o tom, že se jedná o chrám, ve kterém jste našli Hvězdný kalendář. Je zřejmé, že se zde někdo snaží o tomto artefaktu zjistit více, a nemůžete předpokládat, že tato osoba bude mít sympatie k vašim motivům.\n\nZískejte 2 Žetony Stopy a odstraňte tento Žeton Prohledat."
EventBrazilianBookPass.button1,Pokračovat
TokenSearchLibraryMiddle.text,"Regály jsou přeplněné knihami a stránkami různorodých rukopisů. Něco užitečného musí být ukryto v těchto kožených vazbách a inkoustem pokrytých pergamenech."
TokenSearchLibraryMiddle.button1,{action} Prohledat
EventSearchLibraryShelves.text,"Trvalo by vám hodiny, než byste přečetli všechny texty, které máte před sebou, ale možná najdete něco užitečného, pokud víte, co hledat. Otestujte {lore}."
EventSearchLibraryShelves.button1,Pokračovat
EventSearchLibraryShelvesFail.button1,Pokračovat
EventSearchLibraryShelvesMedium.text,"Nemusíte být nejostřejší tužka v penále, ale o literatuře něco víte. Ačkoli se tento svazek zdá pro akademickou knihovnu příliš hrozivý, jsme na Miskatonické univerzitě, takže váš úžas se rychle mění v rezignované přijetí.\n\nZískejte běžný předmět Kniha hrůzy a odstraňte tento Žeton Prohledat."
EventSearchLibraryShelvesFail.text,"Procházení této knihovny plné knih vás nijak neobohatilo."
EventSearchLibraryShelvesMedium.button1,Pokračovat
EventSearchLibraryShelvesPass.text,"Vaše znalosti okultních tajemství se vyplatily. Všimnete si ošuntělé stránky, která není spojená s žádnou vazbou, je pokrytá archaickými znaky. Rozpoznáte ji jako okultní kouzlo, a to velmi nebezpečné. Mohl by Kult Zeleného oka schovávat svou temnou magii i v této knihovně?\n\nZískejte kouzlo {c:QItemAttackSpell}, 1 Žeton Stopy a odstraňte tento Žeton Prohledat."
EventSearchLibraryShelvesPass.button1,Pokračovat
TokenSearchLibraryRight.text,"Několik papírů je rozházeno po podlaze poblíž Howarda Bechmana. Zdá se, že byly vytrženy z desek s Howardovým jménem, takže to musí být jeho osobní poznámky. Pravděpodobně by nechtěl, abyste se v nich hrabali, takže musíte mít oči na stopkách, abyste z těchto stránek posbírali nějaké informace."
TokenSearchLibraryRight.button1,{action} Prohledat
EventLibraryPapersGuiltyEvidence.text,"Howard Bechman je zcela pohlcen knihou, kterou čte, takže možná máte dobrou příležitost získat nějaké detaily z jeho poznámek {observation}."
EventLibraryPapersGuiltyEvidence.button1,Pokračovat
EventLibraryPapersNoEvidence.button1,Pokračovat
EventLibraryPapersGuiltyEvidenceFail.text,"Když začnete procházet stránky, zapomenete dávat pozor na Howardův pohled. Jakmile si všimne, že se díváte na jeho poznámky, sebere je z podlahy a bezpečně je vrátí zpět do svého pořadače.\n\nDívá se na vás podezíravě a jízlivě poznamená: „Tohle jsou moje osobní poznámky. Pokoušeli jste se v nich šťourat?“\n\nPokoušíte se ho uklidnit a dát mu najevo, že nemáte žádné zlé úmysly. Zdá se však, že vám nevěří {influence}."
EventLibraryPapersGuiltyEvidenceFail.button1,Pokračovat
EventConvinceLibrarianFail.text,"Howard Bechman na vás zavrčí a vystrčí jazyk s dlouhou rozeklanou špičkou. „Jak se opovažujete! Můžete hledat znalosti o Kultu Zeleného oka, ale ze mě nikdy žádné informace nedostanete!“ Knihovník rychle opouští budovu a při útěku syčí.\n\nVezměte si 2 Karty Strachu (lze předejít úspěšným hodem na {will}) a získejte 2 Žetony Stopy.\n\nOdstraňte Žeton Howard Bechman a tento Žeton Prohledat."
EventConvinceLibrarianFail.button1,Pokračovat
EventConvinceLibrarianPass.text,"Vaše slova jsou přesvědčivá a Howard propukne v záchvat smíchu. „Jak jsem o vás mohl pochybovat, vzhledem k našemu dlouholetému přátelství? Děkuji, že jste mi pomohl sesbírat mé papíry, a omlouvám se, že jsem vám nevěřil.“\n\nVrátí se k dokumentům, které tak intenzivně četl, ale nemůžete si nevšimnout rozeklaného hadího jazyka, který mu vyskakuje z úst během jeho smíchu. Možná jste si získali jeho důvěru, ale on definitivně ztratil tu vaši.\n\nVezměte si 1 Kartu Strachu (lze předejít úspěšným hodem na {will}) a získejte 2 Žetony Stopy.\n\nOdstraňte tento Žeton Prohledat."
EventConvinceLibrarianPass.button1,Pokračovat
EventLibraryPapersGuiltyEvidencePass.text,"Daří se vám pozorně sledovat Howarda Bechmana, zatímco procházíte jeho poznámky. Šokujícím způsobem nacházíte zmínky o jeho členství v Kultu Zeleného oka. Navíc mu kult přidělil úkol zjistit historii Hvězdného kalendáře. Teď už víte, že mu nemůžete věřit.\n\nZískejte 2 Žetony Stopy, unikátní předmět Usvědčující důkaz a odstraňte tento Žeton Prohledat."
EventLibraryPapersGuiltyEvidencePass.button1,Pokračovat
EventLibraryPapersInnocentTestFail.text,"Když procházíte stránky, vaše zvědavost vás zradí a ztratíte soustředění. Howard si toho všimne a zdvořile si vezme stránky a uloží je zpět do svého pořadače.\n\n„Omlouvám se, ale toto jsou mé osobní výzkumné poznámky,“ poznamená klidným hlasem. „Přestože jste můj přítel, musím si to zatím nechat pro sebe. Mé objevy vedly k nečekaným závěrům a chci se dopátrat úplných výsledků, než se o ně podělím nebo je publikuji. Jsem si jistý, že to chápete.“\n\nZískejte 1 Žeton Stopy a odstraňte tento Žeton Prohledat."
EventLibraryPapersInnocentTestFail.button1,Pokračovat
EventLibraryPapersInnocentTestPass.text,"S bystrým okem se vám podaří sledovat Howarda a důkladně prozkoumat stránky.\n\nStránky podrobně popisují jeho výzkum Hvězdného kalendáře, ačkoli jej označuje pouze jako „Dimenzionální artefakt“. Jeho poznámky tvrdí, že může mít mimozemský původ. To by vysvětlovalo podivná souhvězdí, která jsou roztroušena po jeho povrchu a která nápadně nepřipomínají žádná známá souhvězdí viditelná ze Země.\n\nZískejte 1 Žeton Stopy a odstraňte tento Žeton Prohledat."
EventLibraryPapersInnocentTestPass.button1,Pokračovat
TokenLibrarian.text,"Váš přítel Howard Bechman je mnoho let hlavním knihovníkem na Miskatonické univerzitě. Přestože mu chcete věřit, nedávné události vás přinutily zpochybnit loajalitu vašich přátel.\n\nV tuto chvíli je zcela ponořen do dokumentu, který drží v rukou.\n\nVyšetřovatel, který má Hvězdný kalendář, ho může Howardovi ukázat, pokud ho považujete za důvěryhodného."
TokenLibrarian.button1,{action} Promluvit
EventSpeakToLibrarian.text,"Zdvořile si odkašlete a získáte Howardovu pozornost. Na jeho tváři se objeví široký úsměv a zvolá: „Ah, už je to dlouho! Je skvělé vás znovu vidět. Po Arkhamu se povídá, že jste podnikl výpravu do Brazílie. Je to pravda?“\n\nVyprávíte mu jen minimum detailů o své cestě a úmyslně opomenete zmínit Hvězdný kalendář nebo svůj objev chrámu, kde se nacházel.\n\n„No, to je náhoda, protože já jsem prováděl výzkum zvláštní relikvie, o které se tvrdí, že se nachází hluboko v brazilské džungli. Mám podezření, že jste ji sám hledal, ale nemohu vás obviňovat, že si své karty zatím necháváte pro sebe. Členové Kultu Zeleného oka mohou být kdekoli,“ zašeptá.\n\nPotvrdíte své pochopení a po sdělení Howardu Bechmanovi, že jste zde, abyste se setkali s děkanem Clemensem, vám popřeje hodně štěstí a vrátí se ke svému čtení.\n\nZískejte 1 Žeton Stopy."
EventSpeakToLibrarian.button1,Pokračovat
TokenLibrarian2.text,"Hlavní knihovník je stále ponořen do svého výzkumu.\n\nVyšetřovatel, který drží Hvězdný kalendář, ho může Howardovi odhalit, pokud ho považujete za důvěryhodného."
TokenLibrarian2.button1,{action} Odhalit Hvězdný kalendář
TokenSearchEntryHallTable.text,"Na malém stole v hale je položena přihlašovací a odhlašovací listina zaměstnanců."
TokenSearchEntryHallTable.button1,{action} Prohledat
EventReadSignInList.text,"Vidíte, že ve vnitřních prostorách jsou stále přihlášeni čtyři lidé - děkan Clemens, hlavní knihovník Howard Bechman, doktorka Rose Barnettová a profesor Smith. Jste s nimi všichni dobří přátelé a kdokoli z nich by vám mohl pomoci při hledání odpovědí týkajících se Hvězdného kalendáře. Máte však podezření, že kdokoli z nich už mohl být zkorumpován a mohl se přidat ke kultu.\n\nCíl: Najděte jednoho důvěryhodného spojence a předejte mu Hvězdný kalendář.\n\nPoznámka: Ne všechny důkazy se v tomto scénáři nacházejí na stejných místech při každém hraní. Hledáte usvědčující důkazy proti třem zaměstnancům, ale je možné, že některé klíčové důkazy minete a budete muset vyvozovat závěry z neúplných informací.\n\nZískejte 1 Žeton Stopy a odstraňte tento Žeton Prohledat."
EventReadSignInList.button1,Pokračovat
TokenExploreHallToBathroomLobby.text,"Tyto dveře vedou ke koupelně."
TokenExploreHallToBathroomLobby.button1,{action} Prozkoumat
EventEnterBathroomLobby.text,"Před koupelnou se nachází malá čekárna. Je jednoduchá, vybavená koženým křeslem a malým stolkem.\n\nUmístěte {c:TileBathroom} a Žeton Zdi, jak je uvedeno."
EventEnterBathroomLobby.button1,Pokračovat
EventAddSearchTokenBathroomLobby.text,"Zásuvka stolu je mírně pootevřená. Možná v ní najdete něco užitečného.\n\nUmístěte Žeton Prohledat, jak je uvedeno."
EventAddSearchTokenBathroomLobby.button1,Pokračovat
EventAddExploreTokenLobbyToBathroom.button1,Pokračovat
EventSearchDeskBathroomLobby1.text,"Když zásuvku více otevřete, najdete v ní malý kříž. Tento nález vám připomíná, že ve světě existují lidé, kteří jsou připraveni postavit se zlu ve všech jeho podobách.\n\nZískejte běžný předmět Svatý Kříž, staňte se Spravedlivým a odstraňte tento Žeton Prohledat."
TokenExploreLobbyToBathroom.text,"Před Vámi se nacházejí dveře do koupelny."
TokenExploreLobbyToBathroom.button1,{action} Prozkoumat
TokenSearchBathroomLobbyDesk.text,"Zásuvka stolu je mírně pootevřená."
TokenSearchBathroomLobbyDesk.button1,{action} Prohledat
EventSearchDeskBathroomLobby1.button1,Pokračovat
EventSearchDeskBathroomLobby2.text,"Když otevřete zásuvku o něco více, všimnete si lahvičky se svěcenou vodou. Tento nález vám připomíná, že na světě jsou lidé, kteří stojí na vaší straně a jsou připraveni bojovat proti zlu ve všech jeho podobách.\n\nZískejte běžný předmět Svěcená voda, staňte se Soustředěným a odstraňte tento Žeton Prohledat."
EventAddExploreTokenLobbyToBathroom.text,"Dveře do koupelny jsou na opačné straně místnosti. Umístěte Žeton Prozkoumat, jak je uvedeno."
EventSearchDeskBathroomLobby2.button1,Pokračovat
EventEnterBathroom.text,"Malá koupelna je dobře udržovaná. Čistota vás ohromí, až na několik šmouh na zrcadle."
EventEnterBathroom.button1,Pokračovat
EventAddSearchTokenBathroomMirror.text,"Když se podíváte blíže, možná to nakonec nejsou šmouhy na zrcadle.\n\nUmístěte Žeton Prohledat, jak je uvedeno."
EventAddSearchTokenBathroomMirror.button1,Pokračovat
EventAddSearchTokenBathroomDrawers.text,"Sada zásuvek vedle umyvadla by mohla obsahovat něco užitečného.\n\nUmístěte Žeton Prohledat, jak je uvedeno."
EventAddSearchTokenBathroomDrawers.button1,Pokračovat
TokenLibrarian.button2,{action} Odhalit Hvězdný kalendář
TokenSearchBathroomDrawers.text,"V těchto zásuvkách se určitě dá najít něco užitečného."
TokenSearchBathroomDrawers.button1,{action} Prohledat
EventSearchBathroomDrawersItem1.text,"Když se vzpamatujete z hrůzného záblesku vzpomínek, vrátíte se k prohledávání zásuvek a narazíte na zvláštní tekutinu.\n\nZískejte běžný předmět Duševní povzbuzovač a odstraňte tento Žeton Prohledat."
EventSearchBathroomDrawersItem1.button1,Pokračovat
EventSearchBathroomDrawersItem2.text,"Když se vzpamatujete z hrůzného záblesku vzpomínek, vrátíte se k prohledávání zásuvek a narazíte na zvláštní tekutinu.\n\nZískejte běžný předmět Obohacující sérum a odstraňte tento Žeton Prohledat."
EventSearchBathroomDrawersItem2.button1,Pokračovat
EventSearchBathroomDrawersItem3.text,"Když se vzpamatujete z hrůzného záblesku vzpomínek, vrátíte se k prohledávání zásuvek a narazíte na zvláštní tekutinu.\n\nZískejte běžný předmět Měsíční lektvar a odstraňte tento Žeton Prohledat."
EventSearchBathroomDrawersItem3.button1,Pokračovat
EventSearchBathroomDrawersItem4.text,"Když se vzpamatujete z hrůzného záblesku vzpomínek, vrátíte se k prohledávání zásuvek a narazíte na zvláštní tekutinu.\n\nZískejte běžný předmět Mutační šťáva a odstraňte tento Žeton Prohledat."
EventSearchBathroomDrawersItem4.button1,Pokračovat
EventSearchBathroomDrawersItem5.text,"Když se vzpamatujete z hrůzného záblesku vzpomínek, vrátíte se k prohledávání zásuvek a narazíte na zvláštní tekutinu.\n\nZískejte běžný předmět Oční výtažek a odstraňte tento Žeton Prohledat."
EventSearchBathroomDrawersItem5.button1,Pokračovat
TokenSearchBathroomMirror.text,"Když se přiblížíte k zrcadlu, zjistíte, že to, co jste považovali za šmouhy, jsou ve skutečnosti nehmotné rozmazané výjevy v jeho odrazu. Připomíná vám to vizuální zkreslení, které jste zažili během své nedávné expedice."
TokenSearchBathroomMirror.button1,{action} Dotknout se zrcadla
EventApproachMirror.text,"Těsně předtím, než se vaše prsty dotknou vašeho odrazu, se v zrcadle objeví vize. Vidíte, jak doktorka Rose Barnettová něco kreslí do lebky lidské kostry, kterou používá při svých přednáškách v malé zasedací místnosti vedle děkanovy kanceláře. Vize vás šokuje, ale i když je nevysvětlitelná, víte, že by stálo za to ji prozkoumat. Nicméně si nemůžete být jistí, zda je vize důvěryhodná.\n\nZískejte 2 Žetony Stopy."
EventApproachMirror.button1,Pokračovat
EventTouchMirror.button1,Pokračovat
EventAddSkeletonSearchTokenIfSmallClassRevealed.text,"Kostra stojí přesně na místě, kde ji ukázala vaše vize.\n\nUmístěte Žeton Prohledat, jak je uvedeno."
EventAddSkeletonSearchTokenIfSmallClassRevealed.button1,Pokračovat
EventFinallyTouchMirrorAfterVision.text,"Když se vize rozplyne, vaše prsty se dotknou zrcadla.\n\nZrcadlo je na dotek ledové a chlupy na vašich pažích začnou samy vstávat."
EventFinallyTouchMirrorAfterVision.button1,Pokračovat
EventTouchMirror.text,"Zrcadlo je na dotek ledové a chlupy na vašich pažích začnou samy vstávat."
EventTouchMirror1.text,"Dotek zrcadla trvá jen vteřinu, když váš prst pronikne do stříbřité kapaliny, kde předtím bylo zrcadlo. Po místnosti se rozléhá syčivý zvuk, který stále sílí, jako by se něco blížilo."
